Subject,Predicate,Object
Eiriksson_Painting,rdf:type,E24_Physical_Human-Made_Thing
Eiriksson_Painting,cidoc-crm:P102_has_title,"Leiv Eiriksson Discovering America"
Eiriksson_Painting,dcterms:creator,"http://vocab.getty.edu/page/ulan/500011632"
Eiriksson_Painting,dcterms:source,"The Fine Art Collection"
Eiriksson_Painting,dcterms:rightsHolder,vinLOD:Norway_Museum
Eiriksson_Painting,dcterms:identifier,"NG.M.00558"
Eiriksson_Painting,schema:size,"Width: 470 cm, Height: 313 cm"
Eiriksson_Painting,rdf:type,"https://schema.org/Painting" 
Eiriksson_Painting,dcterms:medium,"http://vocab.getty.edu/page/aat/300014078"
Eiriksson_Painting,dcterms:created,"1893"
Eiriksson_Painting,rdfs:seeAlso,"https://www.nasjonalmuseet.no/en/collection/object/NG.M.00558"
